frame,player1_x,player1_y,player2_x,player2_y,ball_x,ball_y
184,263.0050048828125,1932.3099365234375,,,,
185,265.23529052734375,1930.1827392578125,,,,
186,267.653076171875,1932.22021484375,,,,
187,269.9771423339844,1932.17529296875,,,,
188,272.3012390136719,1932.13037109375,,,,
189,274.6253967285156,1932.0855712890625,,,,
190,279.2738037109375,1931.995849609375,,,,
191,283.22271728515625,1933.9993896484375,,,,
192,285.761962890625,1940.1644287109375,,,,
193,292.06622314453125,1944.1644287109375,,,,
194,391.404541015625,269.5121154785156,298.28582763671875,1946.0989990234375,,
195,389.9902648925781,269.5470275878906,303.6708068847656,1945.9952392578125,,
196,389.9261169433594,276.46624755859375,310.59466552734375,1945.8619384765625,,
197,389.8622131347656,283.3594665527344,318.3267822265625,1947.7633056640625,,
198,388.2105712890625,310.7095031738281,325.2441711425781,1947.630126953125,,
199,386.5833740234375,337.6542663574219,330.6763610839844,1951.6138916015625,,
200,385.3587951660156,317.54327392578125,335.321044921875,1955.59619140625,,
201,383.85894775390625,331.0321960449219,339.16583251953125,1957.5518798828125,,
202,382.419189453125,337.7561340332031,343.0291748046875,1963.541748046875,,
203,380.93853759765625,351.0956726074219,347.6292419433594,1969.4808349609375,,
204,379.7756042480469,317.68023681640625,350.6805114746094,1973.420166015625,,
205,378.255126953125,337.8580322265625,353.7173156738281,1975.35498046875,,
206,378.2138671875,344.5229187011719,355.990966796875,1975.3114013671875,,
207,376.82843017578125,344.5567932128906,359.0225524902344,1975.2532958984375,,
208,375.4430236816406,344.5906677246094,360.53839111328125,1975.2242431640625,,
209,375.4430236816406,344.5906677246094,363.5855712890625,1971.17578125,,
210,372.6413269042969,351.29833984375,365.1138000488281,1969.1453857421875,,
211,372.7655944824219,324.5905456542969,368.1548156738281,1969.0870361328125,,
212,371.34381103515625,331.3387145996094,371.19586181640625,1969.0286865234375,,
213,369.95330810546875,331.37274169921875,374.2369689941406,1968.9703369140625,,
214,369.9794006347656,324.6588439941406,374.99725341796875,1968.955810546875,,
215,368.5863037109375,324.6929931640625,377.2998352050781,1966.9063720703125,,
216,368.6098937988281,317.9541931152344,386.4329833984375,1966.731201171875,,
217,368.5863037109375,324.6929931640625,388.0203857421875,1962.6778564453125,,
218,367.1723327636719,331.44085693359375,390.3785400390625,1958.59326171875,,
219,367.2142333984375,317.9884338378906,391.14276123046875,1958.57861328125,,
220,365.8001708984375,324.76129150390625,393.35919189453125,1962.5753173828125,,
221,364.39141845703125,331.50897216796875,394.8055114746094,1966.5704345703125,,
222,363.0009765625,331.54302978515625,397.7652282714844,1970.5203857421875,,
223,361.61053466796875,331.5770568847656,402.229248046875,1974.42529296875,,
224,361.61053466796875,331.5770568847656,407.4840393066406,1976.3138427734375,,
225,361.61053466796875,331.5770568847656,411.9717712402344,1978.213134765625,,
226,360.2201232910156,331.6111145019531,416.51165771484375,1978.126220703125,,
227,360.2201232910156,331.6111145019531,419.47418212890625,1980.05078125,,
228,360.2201232910156,331.6111145019531,421.6756591796875,1981.9859619140625,,
229,358.8351135253906,324.9320068359375,424.6963195800781,1981.92822265625,,
230,357.442138671875,324.9661560058594,426.890380859375,1983.859619140625,,
231,356.0494079589844,318.2623291015625,429.1536865234375,1983.8162841796875,,
232,357.4592590332031,284.15802001953125,430.58746337890625,1985.75830078125,,
