frame,p1_x_mog2,p1_y_mog2,p2_x_mog2,p2_y_mog2,ball_x_mog2,ball_y_mog2,p1_x_yolo,p1_y_yolo,p2_x_yolo,p2_y_yolo,ball_x_yolo,ball_y_yolo
79,427.239013671875,316.5157775878906,126.58241271972656,1870.5159912109375,,,417.50634765625,471.86920166015625,133.1239776611328,1879.21630859375,167.52847290039062,1409.391845703125
80,427.239013671875,316.5157775878906,124.98491668701172,1870.5472412109375,,,417.39678955078125,478.0475769042969,130.4984893798828,1877.0675048828125,159.4647979736328,1406.249267578125
81,427.239013671875,316.5157775878906,123.13925170898438,1868.364501953125,,,418.7308349609375,478.0155334472656,128.9060516357422,1877.0985107421875,,
82,427.239013671875,316.5157775878906,122.33966827392578,1868.380126953125,,,418.7308349609375,478.0155334472656,128.10984802246094,1877.114013671875,,
83,427.239013671875,316.5157775878906,121.28966522216797,1866.17724609375,,,418.7308349609375,478.0155334472656,128.10984802246094,1877.114013671875,,
84,427.239013671875,316.5157775878906,121.54008483886719,1868.395751953125,,,418.6192932128906,484.1720275878906,128.35169982910156,1879.3092041015625,,
85,427.239013671875,316.5157775878906,122.03933715820312,1872.818603515625,,,418.7308349609375,478.0155334472656,128.35169982910156,1879.3092041015625,114.90156555175781,1390.4979248046875
86,427.239013671875,316.5157775878906,121.49113464355469,1875.03857421875,,,418.7308349609375,478.0155334472656,127.55633544921875,1879.32470703125,109.00154876708984,1390.6221923828125
87,425.7128601074219,323.292724609375,121.49113464355469,1875.03857421875,,,419.9509582519531,484.14007568359375,126.51742553710938,1877.1451416015625,98.1854476928711,1390.8502197265625
88,425.0703430175781,356.6335754394531,120.44358825683594,1872.8497314453125,,,420.06488037109375,477.9834899902344,125.72122192382812,1877.16064453125,92.63165283203125,1394.3221435546875
89,426.06365966796875,376.3116455078125,120.44358825683594,1872.8497314453125,,,420.06488037109375,477.9834899902344,114.31807708740234,1875.178466796875,,
90,427.3061218261719,382.80084228515625,118.84786224365234,1872.8809814453125,,,421.39892578125,477.95147705078125,123.88223266601562,1874.991943359375,,
91,428.67681884765625,382.76751708984375,115.91206359863281,1875.1473388671875,,,421.39892578125,477.95147705078125,123.08519744873047,1875.0074462890625,68.6101303100586,1408.1591796875
92,430.0475158691406,382.73419189453125,113.5210952758789,1875.1939697265625,,,422.6143493652344,484.076171875,124.4329833984375,1872.77197265625,,
93,426.27734375,434.1358947753906,112.72411346435547,1875.2095947265625,,,422.6143493652344,484.076171875,114.60160064697266,1870.7498779296875,,
94,426.6596374511719,415.0596008300781,111.14591217041016,1868.5987548828125,,,422.7330017089844,477.91943359375,116.74268341064453,1868.489501953125,42.581764221191406,1434.952880859375
95,426.91680908203125,402.2264709472656,110.62230682373047,1864.157470703125,,,422.7330017089844,477.91943359375,116.77652740478516,1861.8043212890625,38.568843841552734,1441.513916015625
96,426.27734375,434.1358947753906,109.83268737792969,1857.4599609375,,,422.8520812988281,471.7407531738281,119.73216247558594,1859.5087890625,,
97,427.49932861328125,440.4163818359375,107.95901489257812,1855.249267578125,,,424.4327392578125,459.2847900390625,114.8863296508789,1866.3023681640625,22.828243255615234,1461.074462890625
98,428.280029296875,402.1933898925781,107.95901489257812,1855.249267578125,,,424.4327392578125,459.2847900390625,109.29351043701172,1859.7130126953125,,
99,428.9792175292969,434.07061767578125,107.95901489257812,1855.249267578125,,,425.77398681640625,459.25250244140625,106.88684844970703,1853.0181884765625,,
100,430.0630187988281,446.64190673828125,110.65078735351562,1850.6875,,,425.77398681640625,459.25250244140625,106.35099792480469,1834.8359375,,
101,432.3697509765625,402.0942077636719,113.0700454711914,1850.64013671875,,,427.115234375,459.22021484375,109.84437561035156,1850.703369140625,,
102,432.3697509765625,402.0942077636719,112.58734893798828,1832.4171142578125,,,427.115234375,459.22021484375,105.80575561523438,1816.3350830078125,,
103,434.8094482421875,414.86224365234375,112.34283447265625,1823.1861572265625,,,428.3270263671875,465.41119384765625,106.35233306884766,1813.987548828125,,
104,435.590576171875,440.2210998535156,112.60818481445312,1825.4974365234375,,,428.3270263671875,465.41119384765625,105.529541015625,1806.962646484375,,
105,436.5044250488281,458.99420166015625,112.36296081542969,1816.2059326171875,,,429.6659240722656,465.3789978027344,106.352783203125,1806.9464111328125,96.87995910644531,1199.5074462890625
106,437.6994934082031,465.1857604980469,111.56085968017578,1809.1959228515625,,,429.7978210449219,459.1556396484375,106.07821655273438,1804.594482421875,107.10883331298828,1159.9185791015625
107,436.2171630859375,471.4195556640625,109.9161376953125,1809.2283935546875,,,429.7978210449219,459.1556396484375,105.25407409667969,1804.6107177734375,,
108,436.2171630859375,471.4195556640625,109.63450622558594,1813.9228515625,171.25930786132812,309.25262451171875,432.48040771484375,459.091064453125,104.98207092285156,1809.32568359375,,
109,435.6487731933594,496.0064392089844,110.17286682128906,1818.580810546875,,,433.8217468261719,459.05877685546875,104.71620178222656,1821.0147705078125,147.60549926757812,1051.1854248046875
110,437.8679504394531,514.1563110351562,106.8956298828125,1825.6097412109375,,,435.1630859375,459.0264892578125,98.17365264892578,1821.1435546875,,
111,438.3030090332031,495.94287109375,104.4532241821289,1832.5767822265625,,,435.1630859375,459.0264892578125,100.6270751953125,1821.09521484375,,
112,438.59564208984375,483.6927795410156,102.28845977783203,1834.9156494140625,,,436.5044250488281,458.99420166015625,99.27164459228516,1823.443359375,,
113,440.0769348144531,477.50299072265625,100.94003295898438,1837.2335205078125,,,436.5044250488281,458.99420166015625,99.27164459228516,1823.443359375,,
114,438.7427062988281,477.5350341796875,100.40525817871094,1839.5302734375,,,436.5044250488281,458.99420166015625,98.991455078125,1821.12744140625,196.00857543945312,933.566162109375
115,437.5537414550781,471.387451171875,100.40525817871094,1839.5302734375,,,437.84576416015625,458.9619140625,99.80926513671875,1821.111328125,206.4425811767578,909.8338012695312
116,438.89031982421875,471.3553161621094,98.5052261352539,1837.28125,,,437.84576416015625,458.9619140625,97.04316711425781,1811.8291015625,217.25917053222656,890.5252685546875
117,439.0384826660156,465.153564453125,98.5052261352539,1837.28125,,,439.486083984375,446.4147033691406,97.89196014404297,1818.822509765625,228.21319580078125,870.9713745117188
118,439.0384826660156,465.153564453125,97.69363403320312,1837.297119140625,,,440.832275390625,446.3822326660156,97.35585021972656,1821.1595458984375,233.54876708984375,856.2098999023438
119,439.0384826660156,465.153564453125,97.69363403320312,1837.297119140625,,,442.1784973144531,446.34979248046875,96.00402069091797,1823.507568359375,248.14752197265625,831.16357421875
120,440.37744140625,465.1213684082031,96.0704574584961,1837.3289794921875,,,443.6822509765625,440.0258483886719,97.63782501220703,1823.4754638671875,,
121,441.7164611816406,465.08917236328125,94.44729614257812,1837.36083984375,,,444.8709411621094,446.28485107421875,95.47115325927734,1825.83447265625,,
122,443.0554504394531,465.05694580078125,92.82415771484375,1837.3927001953125,,,446.2171936035156,446.2524108886719,95.47115325927734,1825.83447265625,,
123,444.39447021484375,465.0247497558594,91.72636413574219,1835.123046875,,,446.2171936035156,446.2524108886719,94.6551513671875,1825.8504638671875,286.8121032714844,789.8994750976562
124,444.39447021484375,465.0247497558594,91.72636413574219,1835.123046875,293.5921936035156,763.9698486328125,443.6822509765625,440.0258483886719,95.47115325927734,1825.83447265625,,
125,445.7335205078125,464.9925537109375,92.0125961303711,1837.40869140625,326.726318359375,633.3780517578125,442.3336181640625,440.0583801269531,96.85157775878906,1830.4249267578125,,
126,445.7335205078125,464.9925537109375,92.82415771484375,1837.3927001953125,411.8388977050781,226.9446258544922,440.9849853515625,440.0909423828125,98.5052261352539,1837.28125,307.13751220703125,768.8455810546875
127,441.8699035644531,458.86505126953125,93.63572692871094,1837.3768310546875,325.7596435546875,666.8405151367188,438.2877502441406,440.1560363769531,99.31682586669922,1837.265380859375,314.4032287597656,763.4891967773438
128,437.84576416015625,458.9619140625,95.01264190673828,1841.91748046875,328.649658203125,710.322998046875,437.0851135253906,433.8748474121094,97.94622802734375,1832.70458984375,324.09368896484375,752.836669921875
129,439.3363342285156,452.6833801269531,96.38362884521484,1846.4385986328125,340.9731140136719,682.953125,433.0321044921875,433.9727478027344,99.57295227050781,1832.6727294921875,332.65423583984375,747.3984985351562
